"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","253.5954521710092","379.26816255578376","0.001953125","0.001953125","0.001953125","2200","0.0000902365969571312","32","0.0000902365969571312","0","0.0000902365969571312","0.0000902365969571312","1:0.0056815864286133","1:68","1:0.0032858173735279828","0.001953125","0.0029296875","Yes"
"1","254.44553160458324","445.7053389078324","0.00439453125","0.00732421875","0.00146484375","2200","0.0001578474054232093","32","0.0001578474054232093","0","0.0001578474054232093","0.0001578474054232093","2:0.026132826861406694;0:0.0056815864286133","2:68;0:68","2:0.01893408751253739;0:0.0032858173735279828","0.00439453125","0.0048828125","Yes"
"2","17.62894943024514","37.850736608260696","0.0146484375","0.0283203125","0.0009765625","2200","0.001040707264022608","32","0.001040707264022608","0","0.001040707264022608","0.001040707264022608","1:0.026132826861406694;3:0.009150361467369111","1:68;3:88","1:0.01893408751253739;3:0.007445351616041762","0.0146484375","0.009765625","Yes"
"3","275.60578668050346","410.6447112177027","0.0048828125","0.00732421875","0.00244140625","2200","0.00016228284015810197","32","0.00016228284015810197","0","0.00016228284015810197","0.00016228284015810197","16:0.0011363430275685982;2:0.009150361467369111;4:0.000786605158434317","16:68;2:88;4:68","16:0.0009762401451815228;2:0.007445351616041762;4:0.000781265803507708","0.0048828125","0.002197265625","Yes"
"4","267.40204382198493","486.1137205500672","0.004150390625","0.00390625","0.00439453125","2200","0.00010989442049535664","32","0.00010989442049535664","0","0.00010989442049535664","0.00010989442049535664","3:0.000786605158434317;5:0.0010249239388091247","3:68;5:68","3:0.000781265803507708;5:0.0011217362710231327","0.004150390625","0.003173828125","Yes"
"5","294.58040966192004","333.9001414141318","0.004150390625","0.00537109375","0.0029296875","2200","0.00020326426162027545","32","0.00020326426162027545","0","0.00020326426162027545","0.00020326426162027545","6:0.0007437415482717258;4:0.0010249239388091247","6:68;4:68","6:0.0008064220295167512;4:0.0011217362710231327","0.004150390625","0.00439453125","Yes"
"6","267.76520984396694","328.1144326528839","0.001708984375","0.00146484375","0.001953125","2200","0.00010162016427626949","32","0.00010162016427626949","0","0.00010162016427626949","0.00010162016427626949","5:0.0007437415482717258;7:0.0008008041651888509","5:68;7:68","5:0.0008064220295167512;7:0.000872227858584318","0.001708984375","0.00244140625","Yes"
"7","335.43000749298335","302.68601503470506","0.00439453125","0.00634765625","0.00244140625","2200","0.0001427574650004903","32","0.0001427574650004903","0","0.0001427574650004903","0.0001427574650004903","17:0.0009478643410867627;6:0.0008008041651888509;8:0.0012867351233872282","17:68;6:68;8:68","17:0.0019465365845958982;6:0.000872227858584318;8:0.0013674231094100708","0.00439453125","0.002685546875","Yes"
"8","137.15122477733476","206.975653215121","0.005859375","0.00830078125","0.00341796875","2200","0.00018843857063919467","32","0.00018843857063919467","0","0.00018843857063919467","0.00018843857063919467","9:0.0037420036810321133;7:0.0012867351233872282","9:68;7:68","9:0.004151316542707478;7:0.0013674231094100708","0.005859375","0.003173828125","Yes"
"9","68.70594649837334","102.87825172154189","0.005859375","0.01171875","0","2200","0.0005031225796778504","32","0.0005031225796778504","0","0.0005031225796778504","0.0005031225796778504","8:0.0037420036810321133;10:0.00933959287787689","8:68;10:68","8:0.004151316542707478;10:0.009586741269766136","0.005859375","0.002685546875","Yes"
"10","210.79241659701205","260.86358001520557","0.003662109375","0.00537109375","0.001953125","2200","0.0001607041053998552","32","0.0001607041053998552","0","0.0001607041053998552","0.0001607041053998552","9:0.00933959287787689;11:0.0036209793604202456","9:68;11:68","9:0.009586741269766136;11:0.0017038355987575027","0.003662109375","0.00537109375","Yes"
"11","359.5289969706205","346.52502040501633","0.004150390625","0.0078125","0.00048828125","2200","0.00048269011924250473","32","0.00048269011924250473","0","0.00048269011924250473","0.00048269011924250473","18:0.001969969768326002;10:0.0036209793604202456;12:0.008435805201347402","18:68;10:68;12:68","18:0.00765975342956865;10:0.0017038355987575027;12:0.004620214727508315","0.004150390625","0.003173828125","Yes"
"12","243.9768609551095","320.34462830441345","0.001708984375","0.00341796875","0","2200","0.00016843239611805794","32","0.00016843239611805794","0","0.00016843239611805794","0.00016843239611805794","13:0.0015600432550240406;11:0.008435805201347402","13:68;11:68","13:0.0015623532221276382;11:0.004620214727508315","0.001708984375","0.001953125","Yes"
"13","332.5507076538911","438.10133418371305","0.0087890625","0.01416015625","0.00341796875","2200","0.00031890430093361197","32","0.00031890430093361197","0","0.00031890430093361197","0.00031890430093361197","12:0.0015600432550240406;14:0.0013891727107794016","12:68;14:68","12:0.0015623532221276382;14:0.0018084102472656627","0.0087890625","0.0087890625","Yes"
"14","245.28133315411543","387.26122890798797","0.001953125","0.00390625","0","2200","0.0001207257466133282","32","0.0001207257466133282","0","0.0001207257466133282","0.0001207257466133282","15:0.0008259436126964725;13:0.0013891727107794016","15:68;13:68","15:0.001113626160313047;13:0.0018084102472656627","0.001953125","0.001220703125","Yes"
"15","307.07683192784805","534.8247470912752","0.00439453125","0.00732421875","0.00146484375","2200","0.00019092732540538254","32","0.00019092732540538254","0","0.00019092732540538254","0.00019092732540538254","14:0.0008259436126964725;19:0.0009026778900854959","14:68;19:68","14:0.001113626160313047;19:0.0008105337242647614","0.00439453125","0.00390625","Yes"
"16","248.55086159064058","394.5366827957344","0.00390625","0.00341796875","0.00439453125","2200","0.00010865602772209466","32","0.00010865602772209466","0","0.00010865602772209466","0.00010865602772209466","23:0.0016532101540119304;3:0.0011363430275685982","23:68;3:68","23:0.0007870251163606679;3:0.0009762401451815228","0.00390625","0.005859375","Yes"
"17","106.71773616271784","124.29203536308835","0.00634765625","0.0107421875","0.001953125","2200","0.000220559369339751","32","0.000220559369339751","0","0.000220559369339751","0.000220559369339751","7:0.0009478643410867627;27:0.0014035067435836102","7:68;27:68","7:0.0019465365845958982;27:0.0013610257280999571","0.00634765625","0.00390625","Yes"
"18","248.3864572307523","215.0874659829172","0.005126953125","0.0087890625","0.00146484375","2200","0.0002822706426920496","32","0.0002822706426920496","0","0.0002822706426920496","0.0002822706426920496","11:0.001969969768326002;31:0.0008096914284575762","11:68;31:68","11:0.00765975342956865;31:0.003645030625136908","0.005126953125","0.001953125","Yes"
"19","287.92552694412433","426.2998204905512","0.0029296875","0.00341796875","0.00244140625","2200","0.00005989685027181896","32","0.00005989685027181896","0","0.00005989685027181896","0.00005989685027181896","35:0.0006797921170212939;15:0.0009026778900854959","35:68;15:68","35:0.0008285908885619919;15:0.0008105337242647614","0.0029296875","0.004150390625","Yes"
