"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"0","45.293624954008045","42.856607572481266","0.0205078125","0.03857421875","0.00244140625","1560","0.0020852087103211143","24","0.0020852087103211143","0","0.0020852087103211143","0.0020852087103211143","1:68","1:0.009100671980773939","1:0.0114491167713352","0.0205078125","Yes"
"1","231.00701862838153","228.90954414611554","0.020751953125","0.0283203125","0.01318359375","1560","0.0004059212752539878","24","0.0004059212752539878","0","0.0004059212752539878","0.0004059212752539878","2:68;0:68","2:0.0018713041919483642;0:0.009100671980773939","2:0.001916519235193287;0:0.0114491167713352","0.020751953125","Yes"
"2","319.71793555102033","184.89304756280958","0.017333984375","0.025390625","0.00927734375","1560","0.00016441814442122465","24","0.00016441814442122465","0","0.00016441814442122465","0.00016441814442122465","1:68;3:68","1:0.0018713041919483642;3:0.001887042968636704","1:0.001916519235193287;3:0.0016374746832168996","0.017333984375","Yes"
"3","92.99485098614592","78.79123478394476","0.06103515625","0.0498046875","0.072265625","1560","0.0002498243218804301","24","0.0002498243218804301","0","0.0002498243218804301","0.0002498243218804301","16:68;2:68;4:68","16:0.0028964958665161356;2:0.001887042968636704;4:0.0018035259806651605","16:0.0019023779977839772;2:0.0016374746832168996;4:0.0018997978114387304","0.06103515625","Yes"
"4","168.45286580597144","132.535109546103","0.01025390625","0.015625","0.0048828125","1560","0.00023479983889895093","24","0.00023479983889895093","0","0.00023479983889895093","0.00023479983889895093","3:68;5:68","3:0.0018035259806651605;5:0.002444776522021491","3:0.0018997978114387304;5:0.0030726599115376563","0.01025390625","Yes"
"5","145.88521746406013","126.07235883861325","0.0478515625","0.0517578125","0.0439453125","1560","0.0001592266973436683","24","0.0001592266973436683","0","0.0001592266973436683","0.0001592266973436683","6:68;4:68","6:0.010155997572671882;4:0.002444776522021491","6:0.008997021039644532;4:0.0030726599115376563","0.0478515625","Yes"
"6","196.7660939472363","161.44659819934364","0.015625","0.015625","0.015625","1560","0.0003087852014325093","24","0.0003087852014325093","0","0.0003087852014325093","0.0003087852014325093","5:68;7:68","5:0.010155997572671882;7:0.00216191407399538","5:0.008997021039644532;7:0.0024535941206256795","0.015625","Yes"
"7","127.44317289328573","39.660505116761065","0.030517578125","0.0380859375","0.02294921875","1560","0.00046012954863695725","24","0.00046012954863695725","0","0.00046012954863695725","0.00046012954863695725","17:68;6:68;8:68","17:0.0028166809318211083;6:0.00216191407399538;8:0.002926833405404672","17:0.0030089459322986956;6:0.0024535941206256795;8:0.002914256984195812","0.030517578125","Yes"
"8","206.14762090350507","40.60271705571751","0.005615234375","0.00927734375","0.001953125","1560","0.0002740923316633095","24","0.0002740923316633095","0","0.0002740923316633095","0.0002740923316633095","9:68;7:68","9:0.0026152769016304367;7:0.002926833405404672","9:0.0017647319698753938;7:0.002914256984195812","0.005615234375","Yes"
"9","310.0108833526536","30.266287656393647","0.0107421875","0.013671875","0.0078125","1560","0.0001822244964806425","24","0.0001822244964806425","0","0.0001822244964806425","0.0001822244964806425","8:68;10:68","8:0.0026152769016304367;10:0.0023583756297882175","8:0.0017647319698753938;10:0.0018430721995483235","0.0107421875","Yes"
"10","198.51666904921996","122.56917906729508","0.005615234375","0.0078125","0.00341796875","1560","0.00016752707558180828","24","0.00016752707558180828","0","0.00016752707558180828","0.00016752707558180828","9:68;11:68","9:0.0023583756297882175;11:0.010386715556258724","9:0.0018430721995483235;11:0.005481168437441564","0.005615234375","Yes"
"11","136.16952053966378","53.484242476664534","0.0751953125","0.1240234375","0.0263671875","1560","0.0016667050716639006","24","0.0016667050716639006","0","0.0016667050716639006","0.0016667050716639006","18:68;10:68;12:68","18:0.013845378864158236;10:0.010386715556258724;12:0.008445808101733315","18:0.0032801628676600303;10:0.005481168437441564;12:0.0046386844517546655","0.0751953125","Yes"
"12","71.96765154720512","73.2394574547411","0.021484375","0.02978515625","0.01318359375","1560","0.00034283646717506573","24","0.00034283646717506573","0","0.00034283646717506573","0.00034283646717506573","13:68;11:68","13:0.004696660315342577;11:0.008445808101733315","13:0.0033202598669170857;11:0.0046386844517546655","0.021484375","Yes"
"13","282.5403041902928","194.3225858491887","0.018798828125","0.0263671875","0.01123046875","1560","0.0004048718488077817","24","0.0004048718488077817","0","0.0004048718488077817","0.0004048718488077817","12:68;14:68","12:0.004696660315342577;14:0.0019485755432230856","12:0.0033202598669170857;14:0.0023731357052845514","0.018798828125","Yes"
"14","127.35273957772178","49.11898790719035","0.008544921875","0.0068359375","0.01025390625","1560","0.00025049758890918034","24","0.00025049758890918034","0","0.00025049758890918034","0.00025049758890918034","15:68;13:68","15:0.0023497788235829764;13:0.0019485755432230856","15:0.002878556675919297;13:0.0023731357052845514","0.008544921875","Yes"
"15","369.22647979539676","213.30163529614123","0.019775390625","0.025390625","0.01416015625","1560","0.00011473516316452599","24","0.00011473516316452599","0","0.00011473516316452599","0.00011473516316452599","14:68;19:68","14:0.0023497788235829764;19:0.002882250236584283","14:0.002878556675919297;19:0.0017822781263877874","0.019775390625","Yes"
"16","173.29389747140945","139.80198462839203","0.010498046875","0.01806640625","0.0029296875","1560","0.0003228785212663015","24","0.0003228785212663015","0","0.0003228785212663015","0.0003228785212663015","23:68;3:68","23:0.00357554892192094;3:0.0028964958665161356","23:0.0028423351922389484;3:0.0019023779977839772","0.010498046875","Yes"
"17","157.5391844342162","141.58524270805708","0.01513671875","0.013671875","0.0166015625","1560","0.00022748700687749094","24","0.00022748700687749094","0","0.00022748700687749094","0.00022748700687749094","7:68;27:68","7:0.0028166809318211083;27:0.027063656059357843","7:0.0030089459322986956;27:0.025926057096716887","0.01513671875","Yes"
"18","101.88660758610773","66.12719897269314","0.005126953125","0.009765625","0.00048828125","1560","0.00029577459284948137","24","0.00029577459284948137","0","0.00029577459284948137","0.00029577459284948137","11:68;31:68","11:0.013845378864158236;31:0.003696560073366717","11:0.0032801628676600303;31:0.0027281088769699757","0.005126953125","Yes"
"19","210.00217921456445","163.66620158121722","0.012451171875","0.0185546875","0.00634765625","1560","0.0004953609118273743","24","0.0004953609118273743","0","0.0004953609118273743","0.0004953609118273743","35:68;15:68","35:0.002659202673118838;15:0.002882250236584283","35:0.0018731821936247006;15:0.0017822781263877874","0.012451171875","Yes"
"20","153.48561585498203","156.27145038181777","0.010498046875","0.0146484375","0.00634765625","1560","0.00041806569072610063","24","0.00041806569072610063","0","0.00041806569072610063","0.00041806569072610063","21:68","21:0.002968532249476019","21:0.003044313809128507","0.010498046875","Yes"
"21","231.01505744227023","157.7773028566103","0.00830078125","0.01513671875","0.00146484375","1560","0.0001700735677655109","24","0.0001700735677655109","0","0.0001700735677655109","0.0001700735677655109","36:68;20:68;22:68","36:0.006111817740519582;20:0.002968532249476019;22:0.00393425561357047","36:0.0048582031461265884;20:0.003044313809128507;22:0.0024291696763811543","0.00830078125","Yes"
"22","124.7892222927928","101.78592961060627","0.006103515625","0.01123046875","0.0009765625","1560","0.00022174037707217004","24","0.00022174037707217004","0","0.00022174037707217004","0.00022174037707217004","23:68;21:68","23:0.004201332259267027;21:0.00393425561357047","23:0.002163600067979471;21:0.0024291696763811543","0.006103515625","Yes"
"23","188.5071194211658","165.48331897662487","0.00732421875","0.013671875","0.0009765625","1560","0.00017345122516352165","24","0.00017345122516352165","0","0.00017345122516352165","0.00017345122516352165","22:68;24:68;16:68","22:0.004201332259267027;24:0.004817224935366099;16:0.00357554892192094","22:0.002163600067979471;24:0.0050919352161070686;16:0.0028423351922389484","0.00732421875","Yes"
"24","90.28306742395935","63.16119392652626","0.015380859375","0.017578125","0.01318359375","1560","0.0012092759338882832","24","0.0012092759338882832","0","0.0012092759338882832","0.0012092759338882832","23:68;25:68","23:0.004817224935366099;25:0.022078649654459798","23:0.0050919352161070686;25:0.017806901590029428","0.015380859375","Yes"
"25","253.82057840685403","150.35136686441857","0.019775390625","0.02099609375","0.0185546875","1560","0.0002760357343335287","24","0.0002760357343335287","0","0.0002760357343335287","0.0002760357343335287","24:68;26:68;37:68","24:0.022078649654459798;26:0.0035860738492178024;37:0.00264007994764906","24:0.017806901590029428;26:0.0022658817728895553;37:0.0016554749188486817","0.019775390625","Yes"
"26","129.51353501217977","95.97543412784019","0.0166015625","0.01904296875","0.01416015625","1560","0.0002480360464350817","24","0.0002480360464350817","0","0.0002480360464350817","0.0002480360464350817","25:68;27:68","25:0.0035860738492178024;27:0.02412791403951703","25:0.0022658817728895553;27:0.023721844277210136","0.0166015625","Yes"
"27","125.55953261540677","159.75710152674802","0.018310546875","0.0244140625","0.01220703125","1560","0.003391326355705237","24","0.003391326355705237","0","0.003391326355705237","0.003391326355705237","26:68;28:68;17:68","26:0.02412791403951703;17:0.027063656059357843","26:0.023721844277210136;28:0.09561942206862466;17:0.025926057096716887","0.018310546875","Yes"
