"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","269.52166551635185","36.93500478658627","0.0126953125","0.021240234375","0.004150390625","2584","0.0005697699289467193","36","0.0005697699289467193","0","0.0005697699289467193","0.0005697699289467193","1:0.0015623158376579516","1:68","1:0.0018056844535930539","0.0126953125","Yes"
"1","202.82644321873386","158.35861593695734","0.00390625","0.0048828125","0.0029296875","2584","0.00018689347706918875","36","0.00018689347706918875","0","0.00018689347706918875","0.00018689347706918875","2:0.0012372425798012898;0:0.0015623158376579516","2:68;0:68","2:0.001323117805874463;0:0.0018056844535930539","0.00390625","Yes"
"2","285.79966149359285","335.62286595987655","0.00390625","0.00634765625","0.00146484375","2584","0.0002861005794950861","36","0.0002861005794950861","0","0.0002861005794950861","0.0002861005794950861","1:0.0012372425798012898;3:0.0053480334444855615","1:68;3:68","1:0.001323117805874463;3:0.006195580509041204","0.00390625","Yes"
"3","286.3358559857108","274.3303060031171","0.00537109375","0.007568359375","0.003173828125","2584","0.00016417663504358462","36","0.00016417663504358462","0","0.00016417663504358462","0.00016417663504358462","16:0.006254989137619182;2:0.0053480334444855615;4:0.006055611551465584","16:68;2:68;4:80","16:0.00961639348749202;2:0.006195580509041204;4:0.00689680113857441","0.00537109375","Yes"
"4","165.07225750930166","233.4887721460605","0.0130615234375","0.023681640625","0.00244140625","2584","0.0002090888267735623","36","0.0002090888267735623","0","0.0002090888267735623","0.0002090888267735623","3:0.006055611551465584;5:0.0020351865501394284","3:80;5:68","3:0.00689680113857441;5:0.0021287119580850056","0.0130615234375","Yes"
"5","253.23970678681786","176.3521458018459","0.0205078125","0.0361328125","0.0048828125","2584","0.0007174399711144299","36","0.0007174399711144299","0","0.0007174399711144299","0.0007174399711144299","6:0.001601094707738282;4:0.0020351865501394284","6:68;4:68","6:0.0012217313069134983;4:0.0021287119580850056","0.0205078125","Yes"
"6","184.40220468692414","170.37479034667794","0.0052490234375","0.008056640625","0.00244140625","2584","0.0003553010735700091","36","0.0003553010735700091","0","0.0003553010735700091","0.0003553010735700091","5:0.001601094707738282;7:0.0017395883299946568","5:68;7:68","5:0.0012217313069134983;7:0.0018384993128049698","0.0052490234375","Yes"
"7","289.76859650573556","127.27551378735559","0.007568359375","0.01416015625","0.0009765625","2584","0.0001879837664033171","36","0.0001879837664033171","0","0.0001879837664033171","0.0001879837664033171","17:0.0020272844823593095;6:0.0017395883299946568;8:0.003583284154837968","17:68;6:68;8:80","17:0.0016470251586565565;6:0.0018384993128049698;8:0.0035577034312990474","0.007568359375","Yes"
"8","188.2128179234129","131.94311539825466","0.007568359375","0.013427734375","0.001708984375","2584","0.0002397921636881897","36","0.0002397921636881897","0","0.0002397921636881897","0.0002397921636881897","9:0.0026403249510886795;7:0.003583284154837968","9:68;7:80","9:0.003149280439115859;7:0.0035577034312990474","0.007568359375","Yes"
"9","199.18907796468918","252.75541858894547","0.091552734375","0.05517578125","0.1279296875","2584","0.00030835730100757877","36","0.00030835730100757877","0","0.00030835730100757877","0.00030835730100757877","8:0.0026403249510886795;10:0.0013496459556198714","8:68;10:68","8:0.003149280439115859;10:0.0012635839446671349","0.091552734375","Yes"
"10","337.7444762673043","226.6855969398875","0.0130615234375","0.0068359375","0.008056640625","2584","0.00010916733440535036","36","0.00010916733440535036","0","0.00010916733440535036","0.00010916733440535036","9:0.0013496459556198714;11:0.0015498946941942537","9:68;11:68","9:0.0012635839446671349;11:0.001256068192079518","0.0130615234375","Yes"
"11","321.6700975391726","206.656958449344","0.0186767578125","0.031005859375","0.00634765625","2584","0.0002445464850915872","36","0.0002445464850915872","0","0.0002445464850915872","0.0002445464850915872","18:0.001873996720421378;10:0.0015498946941942537;12:0.0016064463465863543","18:68;10:68;12:68","18:0.0015946336824753937;10:0.001256068192079518;12:0.0013476939918623254","0.0186767578125","Yes"
"12","296.4110751960819","161.27789186832067","0.0047607421875","0.00634765625","0.003173828125","2584","0.00023176661627015408","36","0.00023176661627015408","0","0.00023176661627015408","0.00023176661627015408","13:0.0018012780587438881;11:0.0016064463465863543","13:80;11:68","13:0.0015904764146739692;11:0.0013476939918623254","0.0047607421875","Yes"
"13","189.41255590272678","161.53248948577811","0.0234375","0.017578125","0.029296875","2584","0.0002511549670391275","36","0.0002511549670391275","0","0.0002511549670391275","0.0002511549670391275","12:0.0018012780587438881;14:0.0011421326814589072","12:80;14:80","12:0.0015904764146739692;14:0.001371215605110887","0.0234375","Yes"
"14","238.29999941385287","124.97747140779838","0.0048828125","0.009521484375","0.000244140625","2584","0.0001057436291862448","36","0.0001057436291862448","0","0.0001057436291862448","0.0001057436291862448","15:0.0013269016619351925;13:0.0011421326814589072","15:68;13:80","15:0.001155964801321907;13:0.001371215605110887","0.0048828125","Yes"
"15","364.03416581300326","29.192022389497858","0.0347900390625","0.06640625","0.003173828125","2584","0.00010469941262675036","36","0.00010469941262675036","0","0.00010469941262675036","0.00010469941262675036","14:0.0013269016619351925;19:0.0015845501149011343","14:68;19:68","14:0.001155964801321907;19:0.001468571627443488","0.0347900390625","Yes"
"16","136.71292326194325","131.9438994084411","0.00537109375","0.010009765625","0.000732421875","2584","0.0004217270586089663","36","0.0004217270586089663","0","0.0004217270586089663","0.0004217270586089663","23:0.0025460454180600556;3:0.006254989137619182","23:68;3:68","23:0.0018206929524159643;3:0.00961639348749202","0.00537109375","Yes"
"17","239.27478223192958","10.938267035554217","0.0048828125","0.00830078125","0.00146484375","2584","0.0004030371771151892","36","0.0004030371771151892","0","0.0004030371771151892","0.0004030371771151892","7:0.0020272844823593095;27:0.002222932769027436","7:68;27:68","7:0.0016470251586565565;27:0.0022251600945560335","0.0048828125","Yes"
"18","113.98205608086154","83.9408757795217","0.0128173828125","0.02001953125","0.005615234375","2584","0.0004435350255482369","36","0.0004435350255482369","0","0.0004435350255482369","0.0004435350255482369","11:0.001873996720421378;31:0.002962692028290942","11:68;31:68","11:0.0015946336824753937;31:0.0023733137392024095","0.0128173828125","Yes"
"19","158.44217153269935","64.20321066618422","0.0047607421875","0.009033203125","0.00048828125","2584","0.0002765615699923028","36","0.0002765615699923028","0","0.0002765615699923028","0.0002765615699923028","35:0.0016489329392069263;15:0.0015845501149011343","35:80;15:68","35:0.001840447475679241;15:0.001468571627443488","0.0047607421875","Yes"
"20","146.47656154390344","202.89026429516773","0.0054931640625","0.01025390625","0.000732421875","2584","0.0005035105399254602","36","0.0005035105399254602","0","0.0005035105399254602","0.0005035105399254602","21:0.0019626153826572124","21:68","21:0.0025021835260825853","0.0054931640625","Yes"
"21","267.36459223379734","214.14844417687138","0.0029296875","0.004150390625","0.001708984375","2584","0.0002996593287205062","36","0.0002996593287205062","0","0.0002996593287205062","0.0002996593287205062","36:0.002195529432185983;20:0.0019626153826572124;22:0.0016354857770285725","36:68;20:68;22:68","36:0.0021194689421599466;20:0.0025021835260825853;22:0.0018161324617257113","0.0029296875","Yes"
"22","233.1362543568944","38.98207719615735","0.0047607421875","0.0087890625","0.000732421875","2584","0.00027006435285647514","36","0.00027006435285647514","0","0.00027006435285647514","0.00027006435285647514","23:0.002222182054391314;21:0.0016354857770285725","23:68;21:68","23:0.0027999202040212834;21:0.0018161324617257113","0.0047607421875","Yes"
"23","286.13609510430643","184.2135685043225","0.0858154296875","0.158203125","0.013427734375","2584","0.0002035495914735191","36","0.0002035495914735191","0","0.0002035495914735191","0.0002035495914735191","22:0.002222182054391314;24:0.0035293556706631757;16:0.0025460454180600556","22:68;24:68;16:68","22:0.0027999202040212834;24:0.0034048543893885896;16:0.0018206929524159643","0.0858154296875","Yes"
