"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","76.27425853168178","123.11481458904584","0.0986328125","0.187744140625","0.009521484375","2584","0.00040987261881422066","32","0.00040987261881422066","0","0.00040987261881422066","0.00040987261881422066","1:0.002836635782174385","1:88","1:0.0035490896981741904","0.0986328125","0.005859375","Yes"
"1","331.23917657723433","302.94527796088545","0.00634765625","0.00927734375","0.00341796875","2584","0.00021069814600932878","32","0.00021069814600932878","0","0.00021069814600932878","0.00021069814600932878","2:0.0020033098303620656;0:0.002836635782174385","2:88;0:88","2:0.002146187873228095;0:0.0035490896981741904","0.00634765625","0.0126953125","Yes"
"2","282.58482393816263","250.47353620073574","0.0030517578125","0.00537109375","0.000732421875","2584","0.00013020373722436802","32","0.00013020373722436802","0","0.00013020373722436802","0.00013020373722436802","1:0.0020033098303620656;3:0.0011276878407479318","1:88;3:88","1:0.002146187873228095;3:0.0015493223271549894","0.0030517578125","0.00830078125","Yes"
"3","231.9824084825937","211.39289490917008","0.00439453125","0.005615234375","0.003173828125","2584","0.00013247907351730524","32","0.00013247907351730524","0","0.00013247907351730524","0.00013247907351730524","16:0.0012471216463625923;2:0.0011276878407479318;4:0.0014848436345443194","16:88;2:88;4:88","16:0.001374619879593697;2:0.0015493223271549894;4:0.0010137724311052865","0.00439453125","0.005859375","Yes"
"4","205.62768008474663","176.4117743721931","0.002197265625","0.003662109375","0.000732421875","2584","0.0004182093769089237","32","0.0004182093769089237","0","0.0004182093769089237","0.0004182093769089237","3:0.0014848436345443194;5:0.0022023594071078623","3:88;5:88","3:0.0010137724311052865;5:0.0016407258441245576","0.002197265625","0.00634765625","Yes"
"5","322.71038133555567","317.0377119054762","0.00244140625","0.003662109375","0.001220703125","2584","0.00018830677067416455","32","0.00018830677067416455","0","0.00018830677067416455","0.00018830677067416455","6:0.0017983686498972973;4:0.0022023594071078623","6:88;4:88","6:0.004242723742665877;4:0.0016407258441245576","0.00244140625","0.004150390625","Yes"
"6","132.54037415340105","171.54964046283575","0.00341796875","0.005859375","0.0009765625","2584","0.0003177146640866926","32","0.0003177146640866926","0","0.0003177146640866926","0.0003177146640866926","5:0.0017983686498972973;7:0.0019784570753334507","5:88;7:88","5:0.004242723742665877;7:0.0025585628961647677","0.00341796875","0.002685546875","Yes"
"7","396.97966228599296","318.8975491755865","0.00634765625","0.01171875","0.0009765625","2584","0.000357038128826689","32","0.000357038128826689","0","0.000357038128826689","0.000357038128826689","17:0.003404756071191173;6:0.0019784570753334507;8:0.0016515267215167773","17:88;6:88;8:88","17:0.0024884863941241897;6:0.0025585628961647677","0.00634765625","0.0029296875","Yes"
"8","237.59892669963176","278.80836513485986","0.0087890625","0.003173828125","0.014404296875","2584","0.00012328044865675525","32","0.00012328044865675525","0","0.00012328044865675525","0.00012328044865675525","9:0.010128926007096056;7:0.0016515267215167773","9:88;7:88","9:0.1534721768199506","0.0087890625","0.0068359375","Yes"
"9","59.1263435312991","72.91680770729369","0.0770263671875","0.13818359375","0.015869140625","2584","0.0017682487961229569","32","0.0017682487961229569","0","0.0017682487961229569","0.0017682487961229569","8:0.010128926007096056;10:0.0057158281762466345","8:88;10:88","8:0.1534721768199506;10:0.005158867382998811","0.0770263671875","0.021728515625","Yes"
"10","272.62773304728586","401.11158897384075","0.0030517578125","0.0068359375","0.00146484375","2584","0.0002530396512932225","32","0.0002530396512932225","0","0.0002530396512932225","0.0002530396512932225","9:0.0057158281762466345;11:0.0009332613463788053","9:88;11:88","9:0.005158867382998811;11:0.0010834755397177709","0.0030517578125","0.0068359375","Yes"
"11","309.64535110872873","416.1155783513025","0.0040283203125","0.006591796875","0.00146484375","2584","0.00017333037309097735","32","0.00017333037309097735","0","0.00017333037309097735","0.00017333037309097735","18:0.001156572167426817;10:0.0009332613463788053;12:0.0009105815591846922","18:88;10:88;12:88","18:0.0017067381931294423;10:0.0010834755397177709;12:0.0014648599272600316","0.0040283203125","0.005126953125","Yes"
"12","270.58490091592034","273.17891955582843","0.0062255859375","0.01123046875","0.001220703125","2584","0.00022996867471872817","32","0.00022996867471872817","0","0.00022996867471872817","0.00022996867471872817","13:0.002126829677112585;11:0.0009105815591846922","13:88;11:88","13:0.0021722627783692383;11:0.0014648599272600316","0.0062255859375","0.00390625","Yes"
"13","356.4900930008617","403.15462273713297","0.0048828125","0.00537109375","0.00439453125","2584","0.00015029575891967084","32","0.00015029575891967084","0","0.00015029575891967084","0.00015029575891967084","12:0.002126829677112585;14:0.001016331889608757","12:88;14:88","12:0.0021722627783692383;14:0.0016276939028738446","0.0048828125","0.013916015625","Yes"
"14","290.89998008084825","100.39630875079028","0.0054931640625","0.005126953125","0.005859375","2584","0.0002784317402467599","32","0.0002784317402467599","0","0.0002784317402467599","0.0002784317402467599","15:0.002136325183087595;13:0.001016331889608757","15:88;13:88","15:0.0023810402099725125;13:0.0016276939028738446","0.0054931640625","0.00537109375","Yes"
"15","149.57700997135427","137.29808459845893","0.0150146484375","0.01123046875","0.018798828125","2584","0.00012593896846417114","32","0.00012593896846417114","0","0.00012593896846417114","0.00012593896846417114","14:0.002136325183087595;19:0.0009550931205622726","14:88;19:88","14:0.0023810402099725125;19:0.0016065742974309405","0.0150146484375","0.009521484375","Yes"
"16","259.00592460463173","379.1872369452356","0.003662109375","0.00634765625","0.0009765625","2584","0.00018293867382909682","32","0.00018293867382909682","0","0.00018293867382909682","0.00018293867382909682","23:0.0038366770673373962;3:0.0012471216463625923","23:88;3:88","3:0.001374619879593697","0.003662109375","0.00341796875","Yes"
"17","282.82915519764254","254.3018326399435","0.001953125","0.002685546875","0.001220703125","2584","0.00028518131803880977","32","0.00028518131803880977","0","0.00028518131803880977","0.00028518131803880977","7:0.003404756071191173;27:0.0018946196522504621","7:88;27:88","7:0.0024884863941241897;27:0.004789668034447692","0.001953125","0.003173828125","Yes"
"18","253.52811195281703","357.7380263251645","0.002685546875","0.004150390625","0.001220703125","2584","0.00023610153785686797","32","0.00023610153785686797","0","0.00023610153785686797","0.00023610153785686797","11:0.001156572167426817;31:0.06451387548294893","11:88;31:88","11:0.0017067381931294423;31:0.10444105785183513","0.002685546875","0.00537109375","Yes"
"19","124.68820405027463","182.2327570456648","0.0142822265625","0.024169921875","0.00439453125","2584","0.00013844407355816655","32","0.00013844407355816655","0","0.00013844407355816655","0.00013844407355816655","35:0.0008948391847146131;15:0.0009550931205622726","35:88;15:88","35:0.0009099124699092909;15:0.0016065742974309405","0.0142822265625","0.015380859375","Yes"
"20","274.37184427350473","298.6945965421678","0.004150390625","0.00732421875","0.0009765625","2584","0.00018023773862502201","32","0.00018023773862502201","0","0.00018023773862502201","0.00018023773862502201","21:0.001569906198000709","21:88","21:0.0021976337896983944","0.004150390625","0.001953125","Yes"
"21","165.4054858254417","219.33844193752566","0.004150390625","0.007080078125","0.001220703125","2584","0.000382998713947638","32","0.000382998713947638","0","0.000382998713947638","0.000382998713947638","36:0.008602006676016988;20:0.001569906198000709;22:0.0015316993507643872","36:88;20:88;22:88","36:0.008995504915200375;20:0.0021976337896983944;22:0.001609393271850168","0.004150390625","0.012451171875","Yes"
"22","245.21936138981934","299.3095419565267","0.0029296875","0.0029296875","0.0029296875","2584","0.00012276212181554151","32","0.00012276212181554151","0","0.00012276212181554151","0.00012276212181554151","23:0.005753714661556469;21:0.0015316993507643872","23:88;21:88","21:0.001609393271850168","0.0029296875","0.00390625","Yes"
"23","356.2763704604951","335.059992237731","0.03125","0.052490234375","0.010009765625","2584","0.004144676611852622","32","0.004144676611852622","0","0.004144676611852622","0.004144676611852622","22:0.005753714661556469;24:0.003526593381628751;16:0.0038366770673373962","22:88;24:88;16:88","","0.03125","0.01513671875","Yes"
"24","214.05018175002408","265.5398766764634","0.0029296875","0.0048828125","0.0009765625","2584","0.0002647041289257114","32","0.0002647041289257114","0","0.0002647041289257114","0.0002647041289257114","23:0.003526593381628751;25:0.0017181931272615136","23:88;25:88","25:0.001197287273709019","0.0029296875","0.002197265625","Yes"
"25","362.78778821602936","477.18773440556623","0.0028076171875","0.003173828125","0.00244140625","2584","0.00010969748715315953","32","0.00010969748715315953","0","0.00010969748715315953","0.00010969748715315953","24:0.0017181931272615136;26:0.05535680954861738;37:0.0025218393445657628","24:88;26:88;37:88","24:0.001197287273709019;26:0.04242726143739675;37:0.0017341292064119718","0.0028076171875","0.00537109375","Yes"
"26","235.3189746476353","267.18998403838407","0.00244140625","0.003173828125","0.001708984375","2584","0.00144054354103698","32","0.00144054354103698","0","0.00144054354103698","0.00144054354103698","25:0.05535680954861738;27:0.0018544355132930346","25:88;27:88","25:0.04242726143739675;27:0.003948004770973235","0.00244140625","0.001708984375","Yes"
"27","339.0870781596897","211.664696721959","0.0015869140625","0.00537109375","0.001220703125","2584","0.00012382756789996","32","0.00012382756789996","0","0.00012382756789996","0.00012382756789996","26:0.0018544355132930346;28:0.0029554158860649604;17:0.0018946196522504621","26:88;28:88;17:88","26:0.003948004770973235;28:0.004849307930540059;17:0.004789668034447692","0.0015869140625","0.004638671875","Yes"
"28","112.75497672667463","138.0214479983985","0.005126953125","0.009521484375","0.000732421875","2584","0.0003819177140125469","32","0.0003819177140125469","0","0.0003819177140125469","0.0003819177140125469","27:0.0029554158860649604;29:0.0028112915789483828","27:88;29:88","27:0.004849307930540059;29:0.001813495031937562","0.005126953125","0.003173828125","Yes"
"29","333.61963983924545","277.93679456324224","0.00244140625","0.00244140625","0.00244140625","2584","0.0001645580969709652","32","0.0001645580969709652","0","0.0001645580969709652","0.0001645580969709652","38:0.0010627016378815246;28:0.0028112915789483828;30:0.001519742055064055","38:88;28:88;30:88","38:0.0011606290746657977;28:0.001813495031937562;30:0.0013519820954257245","0.00244140625","0.003662109375","Yes"
"30","252.2633856170029","292.67611378543126","0.00390625","0.00537109375","0.00244140625","2584","0.0001523784867641009","32","0.0001523784867641009","0","0.0001523784867641009","0.0001523784867641009","31:0.14407329023436422;29:0.001519742055064055","31:88;29:88","31:0.08297739530891848;29:0.0013519820954257245","0.00390625","0.005859375","Yes"
"31","18.576994652347445","29.583403431912167","0.0179443359375","0.035400390625","0.00048828125","2584","0.0015347207285470797","32","0.0015347207285470797","0","0.0015347207285470797","0.0015347207285470797","30:0.14407329023436422;18:0.06451387548294893","30:88;32:88;18:88","30:0.08297739530891848;18:0.10444105785183513","0.0179443359375","0.006103515625","Yes"
"32","219.13082696855741","109.08794847262573","0.02978515625","0.031982421875","0.027587890625","2584","0.000304381597286672","32","0.000304381597286672","0","0.000304381597286672","0.000304381597286672","33:0.003767047841681914","31:88;33:88","33:0.004769698946380158","0.02978515625","0.05859375","Yes"
"33","276.3166318779572","335.1930447208537","0.0050048828125","0.00732421875","0.002685546875","2584","0.00015285631804876144","32","0.00015285631804876144","0","0.00015285631804876144","0.00015285631804876144","39:0.0013065733111316813;32:0.003767047841681914;34:0.014586008373115467","39:88;32:88;34:88","39:0.001416578860254314;32:0.004769698946380158;34:0.0010947193416989964","0.0050048828125","0.00537109375","Yes"
"34","270.8940681341283","274.60500603988686","0.00439453125","0.00830078125","0.00048828125","2584","0.00020011300192003556","32","0.00020011300192003556","0","0.00020011300192003556","0.00020011300192003556","33:0.014586008373115467;35:0.001149976318184115","33:88;35:88","33:0.0010947193416989964;35:0.004849367136765065","0.00439453125","0.003662109375","Yes"
"35","352.88873454265274","407.0961849134263","0.0101318359375","0.0068359375","0.013427734375","2584","0.00011437570258043508","32","0.00011437570258043508","0","0.00011437570258043508","0.00011437570258043508","19:0.0008948391847146131;34:0.001149976318184115","19:88;34:88","19:0.0009099124699092909;34:0.004849367136765065","0.0101318359375","0.00341796875","Yes"
"36","4.283690833576269","12.953363616010366","0.0372314453125","0.07177734375","0.002685546875","2584","0.0018741573819673557","32","0.0018741573819673557","0","0.0018741573819673557","0.0018741573819673557","41:0.009413104108636994;21:0.008602006676016988","41:88;21:88","41:0.008889352800035916;21:0.008995504915200375","0.0372314453125","0.016357421875","Yes"
