"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","104.3960244772003","192.3551056963183","0.1279296875","0.14404296875","0.11181640625","1560","0.00018395681610894197","32","0.00018395681610894197","0","0.00018395681610894197","0.00018395681610894197","15:0.0015146393549317072;1:0.0016679747178339754","15:68;1:68","15:0.0019419912318094923;1:0.0020271644414322776","0.1279296875","Yes"
"1","219.35204771965115","150.87339825397322","0.0552978515625","0.0400390625","0.070556640625","1560","0.00018463553787392468","32","0.00018463553787392468","0","0.00018463553787392468","0.00018463553787392468","2:0.0026029351850445637;0:0.0016679747178339754","2:68;0:68","2:0.0016591360113955567;0:0.0020271644414322776","0.0552978515625","Yes"
"2","149.07081260130875","131.48452187506948","0.0535888671875","0.067138671875","0.0400390625","1560","0.0005634219275683821","32","0.0005634219275683821","0","0.0005634219275683821","0.0005634219275683821","1:0.0026029351850445637;3:0.002765022415237045","1:68;3:68","1:0.0016591360113955567;3:0.0015489743192020344","0.0535888671875","Yes"
"3","273.8680968785401","185.21981813513298","0.02099609375","0.017578125","0.0244140625","1560","0.0003669398765304621","32","0.0003669398765304621","0","0.0003669398765304621","0.0003669398765304621","2:0.002765022415237045;4:0.0024423940243324394","2:68;4:68","2:0.0015489743192020344;4:0.0022875679538645333","0.02099609375","Yes"
"4","169.41685203936805","186.91986950423865","0.039306640625","0.044677734375","0.033935546875","1560","0.00031330919762003585","32","0.00031330919762003585","0","0.00031330919762003585","0.00031330919762003585","3:0.0024423940243324394;5:0.0017963877096318914;16:0.0017590240698802384","3:68;5:68;16:80","3:0.0022875679538645333;5:0.001992616125618435;16:0.001724799410570077","0.039306640625","Yes"
"5","89.67417725199061","125.67856950984523","0.033935546875","0.020751953125","0.047119140625","1560","0.0001742387849706502","32","0.0001742387849706502","0","0.0001742387849706502","0.0001742387849706502","6:0.002045971415699871;4:0.0017963877096318914","6:68;4:68","6:0.0019007754709512437;4:0.001992616125618435","0.033935546875","Yes"
"6","38.220080707154885","53.62994513460609","0.0133056640625","0.02392578125","0.002685546875","1560","0.0003985558175343241","32","0.0003985558175343241","0","0.0003985558175343241","0.0003985558175343241","5:0.002045971415699871;7:0.00236769855108393","5:68;7:68","5:0.0019007754709512437;7:0.0024841262222270732","0.0133056640625","Yes"
"7","305.20821039704805","177.84992061647097","0.0775146484375","0.0546875","0.100341796875","1560","0.00033280510302510265","32","0.00033280510302510265","0","0.00033280510302510265","0.00033280510302510265","6:0.00236769855108393;8:0.0018940474470164337","6:68;8:68","6:0.0024841262222270732;8:0.0021244620813324067","0.0775146484375","Yes"
"8","140.65498699931595","150.59318494531695","0.055908203125","0.045654296875","0.066162109375","1560","0.00016277912661116905","32","0.00016277912661116905","0","0.00016277912661116905","0.00016277912661116905","9:0.0023967021250294596;17:0.0022617156309481246;7:0.0018940474470164337","9:68;17:108;7:68","9:0.002271479270698068;17:0.0030622002126344805;7:0.0021244620813324067","0.055908203125","Yes"
"9","91.94571500985698","98.78346290099489","0.0167236328125","0.03173828125","0.001708984375","1560","0.00026439618068475906","32","0.00026439618068475906","0","0.00026439618068475906","0.00026439618068475906","8:0.0023967021250294596;10:0.0023538105265981657","8:68;10:68","8:0.002271479270698068;10:0.0022219261730427042","0.0167236328125","Yes"
"10","282.53914307876533","271.6621499928188","0.039306640625","0.02001953125","0.05859375","1560","0.00012780853274493116","32","0.00012780853274493116","0","0.00012780853274493116","0.00012780853274493116","9:0.0023538105265981657;11:0.001438669108067614","9:68;11:68","9:0.0022219261730427042;11:0.001558615970597227","0.039306640625","Yes"
"11","147.89778547216312","176.91804121852732","0.0074462890625","0.01025390625","0.004638671875","1560","0.00017249784122627207","32","0.00017249784122627207","0","0.00017249784122627207","0.00017249784122627207","10:0.001438669108067614;12:0.003376118680641249","10:68;12:68","10:0.001558615970597227;12:0.0020122195127342812","0.0074462890625","Yes"
"12","323.39460916931944","294.47544280374495","0.0181884765625","0.015625","0.020751953125","1560","0.00010913375759160628","32","0.00010913375759160628","0","0.00010913375759160628","0.00010913375759160628","18:0.001342014972769423;13:0.0018401364318171576;11:0.003376118680641249","18:68;13:68;11:68","18:0.0020300589948334113;13:0.002186338936953136;11:0.0020122195127342812","0.0181884765625","Yes"
"13","248.25479452291074","184.68977067360902","0.02685546875","0.02392578125","0.02978515625","1560","0.0001689325926299878","32","0.0001689325926299878","0","0.0001689325926299878","0.0001689325926299878","12:0.0018401364318171576;14:0.0027080091915966387","12:68;14:68","12:0.002186338936953136;14:0.0023438667873014463","0.02685546875","Yes"
"14","243.904475702537","144.03701022287376","0.033203125","0.022705078125","0.043701171875","1560","0.00018153089938327833","32","0.00018153089938327833","0","0.00018153089938327833","0.00018153089938327833","13:0.0027080091915966387","13:68","13:0.0023438667873014463","0.033203125","Yes"
"15","181.01638829723115","39.86240231898158","0.020263671875","0.035400390625","0.005126953125","1560","0.00046201646110458587","32","0.00046201646110458587","0","0.00046201646110458587","0.00046201646110458587","0:0.0015146393549317072;19:0.0034021306965428266","0:68;19:80","0:0.0019419912318094923;19:0.003306648000258844","0.020263671875","Yes"
"16","212.13066645211012","169.09579518897115","0.0283203125","0.021240234375","0.035400390625","1560","0.0001627156295933341","32","0.0001627156295933341","0","0.0001627156295933341","0.0001627156295933341","23:0.002908487335663207;4:0.0017590240698802384","23:184;4:80","23:0.0024477403571091794;4:0.001724799410570077","0.0283203125","Yes"
"17","147.1935129649954","95.57629252405584","0.011474609375","0.018798828125","0.004150390625","1560","0.0006404327886841474","32","0.0006404327886841474","0","0.0006404327886841474","0.0006404327886841474","27:0.0036320601004476982;8:0.0022617156309481246","27:160;8:108","27:0.0035601768532914357;8:0.0030622002126344805","0.011474609375","Yes"
