"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","58.486465300591384","101.00157594373695","0.00732421875","0.010986328125","0.003662109375","2584","0.0004290934693136692","32","0.0004290934693136692","0","0.0004290934693136692","0.0004290934693136692","1:0.0035701552211240273","1:88","1:0.0040763394175702405","0.00732421875","0.00439453125","Yes"
"1","241.13065909493363","237.61223982804407","0.005859375","0.009033203125","0.002685546875","2584","0.0005605968878367041","32","0.0005605968878367041","0","0.0005605968878367041","0.0005605968878367041","2:0.0015442925014438058;0:0.0035701552211240273","2:88;0:88","2:0.00813442536462522;0:0.0040763394175702405","0.005859375","0.017333984375","Yes"
"2","203.70771888985647","219.13855054508775","0.0029296875","0.004638671875","0.001220703125","2584","0.0001306670442710062","32","0.0001306670442710062","0","0.0001306670442710062","0.0001306670442710062","1:0.0015442925014438058;3:0.001391358263736181","1:88;3:88","1:0.00813442536462522;3:0.002844831678217974","0.0029296875","0.015380859375","Yes"
"3","265.2464871667331","253.99380850067465","0.0050048828125","0.007568359375","0.00244140625","2584","0.00007385103678436854","32","0.00007385103678436854","0","0.00007385103678436854","0.00007385103678436854","16:0.0015279142099340337;2:0.001391358263736181;4:0.0015183127003330632","16:88;2:88;4:88","16:0.0015073808451593063;2:0.002844831678217974;4:0.0011146401741807532","0.0050048828125","0.015869140625","Yes"
"4","248.0010599683054","241.0334648506084","0.0030517578125","0.00537109375","0.000732421875","2584","0.0005042684884880593","32","0.0005042684884880593","0","0.0005042684884880593","0.0005042684884880593","3:0.0015183127003330632;5:0.002077235483208234","3:88;5:88","3:0.0011146401741807532;5:0.0020908519956449045","0.0030517578125","0.013671875","Yes"
"5","397.7838544740692","387.31698796639375","0.00341796875","0.0048828125","0.001953125","2584","0.00016689027354552688","32","0.00016689027354552688","0","0.00016689027354552688","0.00016689027354552688","6:0.0014196280478872003;4:0.002077235483208234","6:88;4:88","6:0.0009932675961808746;4:0.0020908519956449045","0.00341796875","0.00244140625","Yes"
"6","142.56551671939633","169.69508263946832","0.00537109375","0.006591796875","0.004150390625","2584","0.0004106290913151046","32","0.0004106290913151046","0","0.0004106290913151046","0.0004106290913151046","5:0.0014196280478872003;7:0.002497762653219049","5:88;7:88","5:0.0009932675961808746;7:0.0023162233867550786","0.00537109375","0.005615234375","Yes"
"7","316.1720095834169","301.1736445672795","0.0064697265625","0.01171875","0.001220703125","2584","0.0002383821655288559","32","0.0002383821655288559","0","0.0002383821655288559","0.0002383821655288559","17:0.0017585738430098696;6:0.002497762653219049;8:0.0011509443551132315","17:88;6:88;8:88","17:0.002486427414284814;6:0.0023162233867550786;8:0.019948996925636064","0.0064697265625","0.00439453125","Yes"
"8","239.21422228508118","314.993440434545","0.00390625","0.00341796875","0.00439453125","2584","0.00019052591699948333","32","0.00019052591699948333","0","0.00019052591699948333","0.00019052591699948333","9:0.010215993401868406;7:0.0011509443551132315","9:88;7:88","7:0.019948996925636064","0.00390625","0.001953125","Yes"
"9","43.467503597216776","54.454053176319626","0.093017578125","0.178955078125","0.007080078125","2584","0.0013591459875874296","32","0.0013591459875874296","0","0.0013591459875874296","0.0013591459875874296","8:0.010215993401868406;10:0.0038453989385873744","8:88;10:88","10:0.004462344000674134","0.093017578125","0.025390625","Yes"
"10","286.036997616835","313.7922900168873","0.00341796875","0.0068359375","0.001708984375","2584","0.00011027572848259366","32","0.00011027572848259366","0","0.00011027572848259366","0.00011027572848259366","9:0.0038453989385873744;11:0.001817102702358131","9:88;11:88","9:0.004462344000674134;11:0.001685039795360388","0.00341796875","0.004638671875","Yes"
"11","202.9935508748058","270.3542317887613","0.0032958984375","0.005615234375","0.0009765625","2584","0.0002941046006040124","32","0.0002941046006040124","0","0.0002941046006040124","0.0002941046006040124","18:0.001321408958456144;10:0.001817102702358131;12:0.0009567080541732775","18:88;10:88;12:88","18:0.0009637153603017923;10:0.001685039795360388;12:0.000954590520018006","0.0032958984375","0.005126953125","Yes"
"12","247.8258709224061","277.58532527260076","0.0040283203125","0.006591796875","0.00146484375","2584","0.00021887610364973561","32","0.00021887610364973561","0","0.00021887610364973561","0.00021887610364973561","13:0.0012117043590808008;11:0.0009567080541732775","13:88;11:88","13:0.0012197158329134705;11:0.000954590520018006","0.0040283203125","0.00341796875","Yes"
"13","248.5679802477686","247.5829642951431","0.005126953125","0.0078125","0.00244140625","2584","0.00014583332050698317","32","0.00014583332050698317","0","0.00014583332050698317","0.00014583332050698317","12:0.0012117043590808008;14:0.0010965579854166907","12:88;14:88","12:0.0012197158329134705;14:0.0012419151263323158","0.005126953125","0.006591796875","Yes"
"14","306.6422334961092","328.984211734342","0.0020751953125","0.0029296875","0.001220703125","2584","0.00021964232285614694","32","0.00021964232285614694","0","0.00021964232285614694","0.00021964232285614694","15:0.0009047938676998712;13:0.0010965579854166907","15:88;13:88","15:0.001109945371277149;13:0.0012419151263323158","0.0020751953125","0.001220703125","Yes"
"15","382.87185733024756","372.2896373262111","0.007080078125","0.00927734375","0.0048828125","2584","0.0002213237418062085","32","0.0002213237418062085","0","0.0002213237418062085","0.0002213237418062085","14:0.0009047938676998712;19:0.0009140865268406351","14:88;19:88","14:0.001109945371277149;19:0.0009837804776495207","0.007080078125","0.00439453125","Yes"
"16","271.9157485121806","332.121184312039","0.0059814453125","0.009521484375","0.00244140625","2584","0.00020466191906115975","32","0.00020466191906115975","0","0.00020466191906115975","0.00020466191906115975","23:0.0009918287321673547;3:0.0015279142099340337","23:88;3:88","23:0.0018416523035524601;3:0.0015073808451593063","0.0059814453125","0.00634765625","Yes"
